time,num_idle,num_serving,num_charging,num_cruising,pass_arrivals,removed_pass
1464807240,2999,2999,2999,2999,0,0
1464807300,2999,2999,2999,2999,0,0
1464807360,2999,2999,2999,2999,0,0
1464807420,2999,2999,2999,2999,0,0
1464807480,2999,2999,2999,2999,0,0
1464807540,2999,2999,2999,2999,0,0
1464807600,2999,2999,2999,2999,0,0
1464807660,2999,2999,2999,2999,0,0
1464807720,2999,2999,2999,2999,0,0
1464807780,2999,2999,2999,2999,0,0
1464807840,2999,2999,2999,2999,0,0
1464807900,2999,2999,2999,2999,0,0
1464807960,2999,2999,2999,2999,0,0
1464808020,2999,2999,2999,2999,0,0
1464808080,2999,2999,2999,2999,0,0
1464808140,2999,2999,2999,2999,0,0
1464808200,2999,2999,2999,2999,0,0
1464808260,2999,2999,2999,2999,0,0
1464808320,2999,2999,2999,2999,0,0
1464808380,2999,2999,2999,2999,0,0
1464808440,2999,2999,2999,2999,0,0
1464808500,2999,2999,2999,2999,0,0
1464808560,2999,2999,2999,2999,0,0
1464808620,2999,2999,2999,2999,0,0
1464808680,2999,2999,2999,2999,0,0
1464808740,2999,2999,2999,2999,0,0
1464808800,2999,2999,2999,2999,0,0
1464808860,2999,2999,2999,2999,0,0
1464808920,2999,2999,2999,2999,0,0
1464808980,2999,2999,2999,2999,0,0
1464809040,2999,2999,2999,2999,0,0
1464809100,2999,2999,2999,2999,0,0
1464809160,2999,2999,2999,2999,0,0
1464809220,2999,2999,2999,2999,0,0
1464809280,2999,2999,2999,2999,0,0
1464809340,2999,2999,2999,2999,0,0
1464809400,2999,2999,2999,2999,0,0
1464809460,2999,2999,2999,2999,0,0
1464809520,2999,2999,2999,2999,0,0
1464809580,2999,2999,2999,2999,0,0
1464809640,2999,2999,2999,2999,0,0
1464809700,2999,2999,2999,2999,0,0
1464809760,2999,2999,2999,2999,0,0
1464809820,2999,2999,2999,2999,0,0
1464809880,2999,2999,2999,2999,0,0
1464809940,2999,2999,2999,2999,0,0
1464810000,2999,2999,2999,2999,0,0
1464810060,2999,2999,2999,2999,0,0
1464810120,2999,2999,2999,2999,0,0
1464810180,2999,2999,2999,2999,0,0
1464810240,2999,2999,2999,2999,0,0
1464810300,2999,2999,2999,2999,0,0
1464810360,2999,2999,2999,2999,0,0
1464810420,2999,2999,2999,2999,0,0
1464810480,2999,2999,2999,2999,0,0
1464810540,2999,2999,2999,2999,0,0
1464810600,2999,2999,2999,2999,0,0
1464810660,2999,2999,2999,2999,0,0
1464810720,2999,2999,2999,2999,0,0
1464810780,2999,2999,2999,2999,0,0
1464810840,2999,2999,2999,2999,0,0
1464810900,2999,2999,2999,2999,0,0
1464810960,2999,2999,2999,2999,0,0
1464811020,2999,2999,2999,2999,0,0
1464811080,2999,2999,2999,2999,0,0
1464811140,2999,2999,2999,2999,0,0
1464811200,2999,2999,2999,2999,0,0
1464811260,2999,2999,2999,2999,0,0
1464811320,2999,2999,2999,2999,0,0
1464811380,2999,2999,2999,2999,0,0
1464811440,2999,2999,2999,2999,0,0
1464811500,2999,2999,2999,2999,0,0
1464811560,2999,2999,2999,2999,0,0
1464811620,2999,2999,2999,2999,0,0
1464811680,2999,2999,2999,2999,0,0
1464811740,2999,2999,2999,2999,0,0
1464811800,2999,2999,2999,2999,0,0
1464811860,2999,2999,2999,2999,0,0
1464811920,2999,2999,2999,2999,0,0
1464811980,2999,2999,2999,2999,0,0
1464812040,2999,2999,2999,2999,0,0
1464812100,2999,2999,2999,2999,0,0
1464812160,2999,2999,2999,2999,0,0
1464812220,2999,2999,2999,2999,0,0
1464812280,2999,2999,2999,2999,0,0
1464812340,2999,2999,2999,2999,0,0
1464812400,2999,2999,2999,2999,0,0
1464812460,2999,2999,2999,2999,0,0
1464812520,2999,2999,2999,2999,0,0
1464812580,2999,2999,2999,2999,0,0
1464812640,2999,2999,2999,2999,0,0
1464812700,2999,2999,2999,2999,0,0
1464812760,2999,2999,2999,2999,0,0
1464812820,2999,2999,2999,2999,0,0
1464812880,2999,2999,2999,2999,0,0
1464812940,2999,2999,2999,2999,0,0
1464813000,2999,2999,2999,2999,0,0
1464813060,2999,2999,2999,2999,0,0
1464813120,2999,2999,2999,2999,0,0
1464813180,2999,2999,2999,2999,0,0
1464813240,2999,2999,2999,2999,0,0
1464813300,2999,2999,2999,2999,0,0
1464813360,2999,2999,2999,2999,0,0
1464813420,2999,2999,2999,2999,0,0
1464813480,2999,2999,2999,2999,0,0
1464813540,2999,2999,2999,2999,0,0
1464813600,2999,2999,2999,2999,0,0
1464813660,2999,2999,2999,2999,0,0
1464813720,2999,2999,2999,2999,0,0
1464813780,2999,2999,2999,2999,0,0
1464813840,2999,2999,2999,2999,0,0
1464813900,2999,2999,2999,2999,0,0
1464813960,2999,2999,2999,2999,0,0
1464814020,2999,2999,2999,2999,0,0
1464814080,2999,2999,2999,2999,0,0
1464814140,2999,2999,2999,2999,0,0
1464814200,2999,2999,2999,2999,0,0
1464814260,2999,2999,2999,2999,0,0
1464814320,2999,2999,2999,2999,0,0
1464814380,2999,2999,2999,2999,0,0
1464814440,2999,2999,2999,2999,0,0
1464814500,2999,2999,2999,2999,0,0
1464814560,2999,2999,2999,2999,0,0
1464814620,2999,2999,2999,2999,0,0
1464814680,2999,2999,2999,2999,0,0
1464814740,2999,2999,2999,2999,0,0
1464814800,2999,2999,2999,2999,0,0
1464814860,2999,2999,2999,2999,0,0
1464814920,2999,2999,2999,2999,0,0
1464814980,2999,2999,2999,2999,0,0
1464815040,2999,2999,2999,2999,0,0
1464815100,2999,2999,2999,2999,0,0
1464815160,2999,2999,2999,2999,0,0
1464815220,2999,2999,2999,2999,0,0
1464815280,2999,2999,2999,2999,0,0
1464815340,2999,2999,2999,2999,0,0
1464815400,2999,2999,2999,2999,0,0
1464815460,2999,2999,2999,2999,0,0
1464815520,2999,2999,2999,2999,0,0
1464815580,2999,2999,2999,2999,0,0
